Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000126016,AMOT,Gene Expression,0.08602744709506853,0.0,0.0,2878,0.25611703348852716,2341
ENSG00000159212,CLIC6,Gene Expression,0.0860135217058208,0.0,0.0,12175,0.9522523844802371,6778
ENSG00000170439,METTL7B,Gene Expression,0.08600118895679715,0.0,0.0,1816,0.15597470608069378,1460
ENSG00000151655,ITIH2,Gene Expression,0.08598562906974365,0.0,0.0,5916,0.4805205402172238,4179
ENSG00000142973,CYP4B1,Gene Expression,0.08597008778562816,0.0,0.0,2299,0.19528331480977465,1963
ENSG00000127022,CANX,Gene Expression,0.08592454261181552,0.0,0.0,27875,2.2277674625921438,9854
ENSG00000196914,ARHGEF12,Gene Expression,0.08591260086110483,0.0,0.0,34229,2.8048807564142963,10479
ENSG00000132872,SYT4,Gene Expression,0.08588392790099078,0.0,0.0,1011,0.09464646433042347,864
ENSG00000104964,TLE5,Gene Expression,0.08587252561363813,0.0,0.0,30547,2.4435679593861988,10083
ENSG00000116199,FAM20B,Gene Expression,0.08587194863910391,0.0,0.0,18734,1.4828241716297605,8603
ENSG00000119280,C1orf198,Gene Expression,0.08583392909370006,0.0,0.0,26785,2.2464002607831994,9837
ENSG00000147162,OGT,Gene Expression,0.08580147052266733,0.0,0.0,58655,4.693202449265249,11190
ENSG00000164292,RHOBTB3,Gene Expression,0.0857544314158026,0.0,0.0,9976,0.9184884212148459,6298
ENSG00000143774,GUK1,Gene Expression,0.08564715154956427,0.0,0.0,49317,4.062549635669951,11108
ENSG00000185883,ATP6V0C,Gene Expression,0.08556785521306275,0.0,0.0,27249,2.243740992152079,9835
ENSG00000166750,SLFN5,Gene Expression,0.08555846088425224,0.0,0.0,25075,1.9832603941108644,9465
ENSG00000146352,CLVS2,Gene Expression,0.08551802496853278,0.0,0.0,949,0.08643044605494159,771
ENSG00000172667,ZMAT3,Gene Expression,0.08551236701294009,0.0,0.0,31356,2.526650401763019,10143
ENSG00000092621,PHGDH,Gene Expression,0.08544436450771062,0.0,0.0,3172,0.2731456822333371,2402
ENSG00000165410,CFL2,Gene Expression,0.08534888510329558,0.0,0.0,33416,2.61676293166086,10260
ENSG00000106823,ECM2,Gene Expression,0.08534549943053604,0.0,0.0,14841,1.2427083850161957,7753
ENSG00000151229,SLC2A13,Gene Expression,0.0853102229946459,0.0,0.0,5168,0.4523593375455151,3736
ENSG00000181789,COPG1,Gene Expression,0.08530208193754178,0.0,0.0,53241,4.244798037767035,11098
ENSG00000174695,TMEM167A,Gene Expression,0.08525892531365382,0.0,0.0,25746,2.050424622830348,9674
ENSG00000159200,RCAN1,Gene Expression,0.08525814083582511,0.0,0.0,13498,1.1555615393991165,7462
ENSG00000110324,IL10RA,Gene Expression,0.0852403482983569,0.0,0.0,6531,0.5836987195612093,4651
ENSG00000122756,CNTFR,Gene Expression,0.08521081609192285,0.0,0.0,5876,0.4653497489820405,4131
ENSG00000142408,CACNG8,Gene Expression,0.08516824888290436,0.0,0.0,1659,0.1475434400722968,1431
ENSG00000065833,ME1,Gene Expression,0.08514863083837912,0.0,0.0,26833,2.1162063225199375,9609
ENSG00000141540,TTYH2,Gene Expression,0.08507853578876572,0.0,0.0,7142,0.6186549579332593,4904
ENSG00000106460,TMEM106B,Gene Expression,0.08506722608781528,0.0,0.0,35695,2.7961416911591894,10420
ENSG00000101384,JAG1,Gene Expression,0.08501841324120826,0.0,0.0,24668,2.0486135668948586,9513
ENSG00000110651,CD81,Gene Expression,0.08498672149261334,0.0,0.0,54633,4.413437843205017,11210
ENSG00000058335,RASGRF1,Gene Expression,0.0849546852497274,0.0,0.0,1055,0.09602922459836974,912
ENSG00000119396,RAB14,Gene Expression,0.08494613296238415,0.0,0.0,64546,5.1243116392245875,11271
